quantity	landed_value	rederived_value	landed_bundle	landed_table	tolerance	verdict	unit	denominator
exact ncRNAs called by TypeV	218.0	218.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeV	188.0	188.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIIA3_proteo	195.0	195.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIIA3_proteo	157.0	157.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIIA2	65.0	65.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIIA2	95.0	95.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIB2_firmi	59.0	59.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIB2_firmi	161.0	161.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
MULTI exact RTs scored	7593.0	7593.0	dbchar_g4_family_baseline	g4_multi_hmm_profile.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
MULTI median best-vs-second margin (bits)	5.0	5.0	dbchar_g4_family_baseline	g4_multi_hmm_profile.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
MULTI with best family among its labels	7586.0	7586.0	dbchar_g4_family_baseline	g4_multi_hmm_profile.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron records detected by myRT|PADLOC|DefenseFinder	352705.0	352705.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron loci detected by myRT|PADLOC|DefenseFinder	345779.0	345779.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
ncRNA carriage %, Retron records, myRT|PADLOC|DefenseFinder	70.3886	70.3886	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.005	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron records detected by myRT	126406.0	126406.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron loci detected by myRT	115733.0	115733.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
ncRNA carriage %, Retron records, myRT	13.4986	13.4986	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.005	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron records detected by myRT|DefenseFinder	74697.0	74697.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron loci detected by myRT|DefenseFinder	67764.0	67764.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
ncRNA carriage %, Retron records, myRT|DefenseFinder	16.9739	16.9739	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.005	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron records detected by myRT|PADLOC	61541.0	61541.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron loci detected by myRT|PADLOC	57542.0	57542.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
ncRNA carriage %, Retron records, myRT|PADLOC	89.2348	89.2348	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.005	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron records detected by PADLOC	26227.0	26227.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron loci detected by PADLOC	25124.0	25124.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
ncRNA carriage %, Retron records, PADLOC	18.6258	18.6258	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.005	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron records detected by PADLOC|DefenseFinder	13003.0	13003.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron loci detected by PADLOC|DefenseFinder	12616.0	12616.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
ncRNA carriage %, Retron records, PADLOC|DefenseFinder	44.2283	44.2283	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.005	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron records detected by DefenseFinder	8729.0	8729.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron loci detected by DefenseFinder	8132.0	8132.0	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
ncRNA carriage %, Retron records, DefenseFinder	14.6638	14.6638	dbchar_g6_tool_calls	g6_tool_matrix_retron.tsv	0.005	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
records with no RT CDS, ILL_POSED	628.0	628.0	dbchar_g2b_rt_cds_recovery	g2b_recovery_classes.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
records with no RT CDS, RECOVERED	14188.0	14188.0	dbchar_g2b_rt_cds_recovery	g2b_recovery_classes.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
records with no RT CDS, SEQUENCE_ONLY	16688.0	16688.0	dbchar_g2b_rt_cds_recovery	g2b_recovery_classes.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
genomes in gem	13645.0	13645.0	dbchar_g5_metadata_sampling	g5_join_coverage.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
genomes in gtdb_archaea	1806.0	1806.0	dbchar_g5_metadata_sampling	g5_join_coverage.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
genomes in gtdb_bacteria	299306.0	299306.0	dbchar_g5_metadata_sampling	g5_join_coverage.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
genomes in mgnify_human_gut	87226.0	87226.0	dbchar_g5_metadata_sampling	g5_join_coverage.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
genomes in mgnify_marine	4817.0	4817.0	dbchar_g5_metadata_sampling	g5_join_coverage.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
genomes in mgnify_soil	5461.0	5461.0	dbchar_g5_metadata_sampling	g5_join_coverage.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
genomes in ncbi_archaea	4047.0	4047.0	dbchar_g5_metadata_sampling	g5_join_coverage.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
genomes in ncbi_bacteria	1237519.0	1237519.0	dbchar_g5_metadata_sampling	g5_join_coverage.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
